organism	gene	modification	new_id	old_id	random_id	protein_length_new	protein_length_old	CDS_counts_new	CDS_counts_old	CDS_change	source_new	source_old	chain_count_new	chain_count_old	fraction_disordered_new	fraction_disordered_old	has_clash_new	has_clash_old	pae_mean_new	pae_mean_old	ptm_new	ptm_old	ranking_score_new	ranking_score_old	residue_plddt_50_new	residue_plddt_50_old	residue_plddt_60_new	residue_plddt_60_old	residue_plddt_70_new	residue_plddt_70_old	residue_plddt_80_new	residue_plddt_80_old	residue_plddt_90_new	residue_plddt_90_old	residue_plddt_count_fp_new	residue_plddt_count_fp_old	residue_plddt_count_tp_new	residue_plddt_count_tp_old	residue_plddt_max_new	residue_plddt_max_old	residue_plddt_mean_new	residue_plddt_mean_old	residue_plddt_median_new	residue_plddt_median_old	residue_plddt_min_new	residue_plddt_min_old	total_residue_plddt_over_80_new	total_residue_plddt_over_80_old	Foldseek_transformed_evalue_new	Foldseek_transformed_evalue_old	alnlen_new	alnlen_old	alntmscore_new	alntmscore_old	bits_new	bits_old	evalue_new	evalue_old	fident_new	fident_old	gapopen_new	gapopen_old	lddt_new	lddt_old	mismatch_new	mismatch_old	qend_new	qend_old	qstart_new	qstart_old	query_length_new	query_length_old	query_new	query_old	target_new	target_old	taxid_new	taxid_old	taxlineage_new	taxlineage_old	taxname_new	taxname_old	tend_new	tend_old	tstart_new	tstart_old	diff_alnlen	diff_alntmscore	diff_bits	diff_CDS_counts	diff_evalue	diff_fident	diff_fraction_disordered	diff_lddt	diff_pae_max	diff_pae_mean	diff_ph-LDDT	diff_protein_length	diff_ptm	diff_residue_plddt_50	diff_residue_plddt_60	diff_residue_plddt_70	diff_residue_plddt_80	diff_residue_plddt_90	diff_residue_plddt_mean	diff_residue_plddt_median	diff_total_residue_plddt_over_80	diff_PSAURON_in_frame_score	diff_mean_out_of_frame_score	ph-LDDT_new	ph-LDDT_old	precision_new	precision_old	query_tp_count_new	query_tp_count_old	sensitivity_new	sensitivity_old	PSAURON_in_frame_score_new	PSAURON_in_frame_score_old	mean_out_of_frame_score_new	mean_out_of_frame_score_old	alignment_score	alignment_length	percent_alignment_score	IPR_max_new	IPR_total_new	IPR_evalue_min_new	IPR_max_old	IPR_total_old	IPR_evalue_min_old	IPR_transformed_evalue_min_new	IPR_transformed_evalue_min_old	diff_IPR_min_evalue	diff_IPR_transformed_min_evalue	above_90_old	above_80_old	above_70_old	above_60_old	above_50_old	above_90_new	above_80_new	above_70_new	above_60_new	above_50_new	diff_above_90	diff_above_80	diff_above_70	diff_above_60	diff_above_50
Aspergillus fumigatus str. Af293	AFU3G02550_T	changed	AFU3G02550	AFU3G02550	66203247_93BE_46B3_9FD7_680DAA121B6A	790	601	7	7	same	Afum-Af293_new	Afum-Af293_old	1	1	0.07	0.25	0	0	8.0770044864605	19.6025124515159	0.88	0.59	0.92	0.72	18	53	7	60	71	91	285	167	372	80	17	29	735	398	97.29	96.725	85.0933216929695	67.7892854735854	89.4125	74.4633333333333	15.3285714285714	16.5957142857143	657	247	60.6889825436736	-3.77124042346456	385.0	0.0	0.6872	0.3453	238.0	32.0	8.533e-07	2.383	0.124	0.151	24.0	3.0	0.4738	0.3379	232.0	49.0	413.0	524.0	48.0	439.0	365.0	85.0	afu3g02550-t_model	afu3g02550-t-p1_model	1pvp-assembly1.cif.gz_B-2	2drp-assembly1.cif.gz_A	10678.0	7227.0	d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes;g_Punavirus;s_Punavirus P1	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Protostomia;-_Ecdysozoa;-_Panarthropoda;p_Arthropoda;-_Mandibulata;-_Pancrustacea;-_Hexapoda;c_Insecta;-_Dicondylia;-_Pterygota;-_Neoptera;-_Endopterygota;o_Diptera;-_Brachycera;-_Muscomorpha;-_Eremoneura;-_Cyclorrhapha;-_Schizophora;-_Acalyptratae;-_Ephydroidea;f_Drosophilidae;-_Drosophilinae;-_Drosophilini;g_Drosophila;-_Sophophora;-_melanogaster group;-_melanogaster subgroup;s_Drosophila melanogaster	Punavirus P1	Drosophila melanogaster	317.0	62.0	19.0	1.0	385.0	0.34190000000000004	206.0	0	-2.3829991467	-0.026999999999999996	-0.18	0.13590000000000002		-11.5255079650554	0.963934426229508	189.0	0.29	-35	-53	-20	118	292	17.3040362193841	14.9491666666667	410	-0.0022199999999999	0.0176299999999999	0.963934426229508	0.0	0.930379746835443	0.662229617304493	365.0	83.0	1.0	0.976470588235294	0.98048	0.9827	0.12582	0.10819	540	836	64.59	320.0	320.0	6.7e-29	122.0	122.0	2e-07	281.739251972992	66.9897000433602	-2e-07	214.749551929632	80	247	338	398	451	372	657	728	735	753	292	410	390	337	302
Aspergillus fumigatus str. Af293	AFU6G03720_T	changed	AFU6G03720	AFU6G03720	66256A4C_C6A8_40D2_9BE7_275147499D99	491	419	6	8	decrease	Afum-Af293_new	Afum-Af293_old	1	1	0.05	0.33	0	0	7.49019872988747	17.2972772996281	0.84	0.6	0.87	0.77	16	29	22	43	99	74	163	124	157	12	0	13	441	253	96.7628571428571	92.05	81.3295230313362	63.5873031792525	85.625	70.0933333333333	34.1691666666667	17.79	320	136	100.180908299092	49.8088370955293	424.0	247.0	0.7581	0.7123	447.0	260.0	9.592e-11	1.045e-05	0.148	0.125	14.0	8.0	0.5614	0.6172	318.0	182.0	451.0	292.0	49.0	50.0	402.0	242.0	afu6g03720-t_model	afu6g03720-t-p1_model	8dwi-assembly1.cif.gz_A	6e9n-assembly2.cif.gz_B	9606.0	562.0	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli	Homo sapiens	Escherichia coli	412.0	223.0	11.0	7.0	177.0	0.04579999999999995	187.0	-2	-1.044990408e-05	0.022999999999999993	-0.28	-0.05579999999999996		-9.80707856974058	0.228571780666128	72.0	0.24	-13	-21	25	39	145	17.7422198520837	15.5316666666667	184	0.24794	-0.07431	0.935064935064935	0.706493154398807	0.89816700610998	0.60381861575179	392.0	206.0	0.975124378109453	0.851239669421488	0.97787	0.72993	0.08922	0.16353	286	593	48.23	427.0	1599.0	3.92e-67	263.0	700.0	4.19e-36	664.067139329795	353.777859770337	-4.19e-36	310.289279559458	12	136	210	253	282	157	320	419	441	457	145	184	209	188	175
Aspergillus fumigatus str. Af293	AFU2G01390_T	changed	AFU2G01390	AFU2G01390	669B8BF1_8DDC_497D_80B7_6404539912E3	292	209	1	2	decrease	Afum-Af293_new	Afum-Af293_old	1	1	0.0	0.02	0	0	3.83641278851567	3.15790847279137	0.91	0.88	0.91	0.89	6	0	4	5	7	2	46	32	221	170	0	0	278	209	98.88	98.5225	91.4648599695586	93.2714334458736	95.3925	95.11375	45.7025	61.7775	267	202	262.451167717478	155.278288533076	314.0	221.0	0.8634	0.7829	861.0	491.0	5.687e-27	2.966e-16	0.267	0.253	10.0	8.0	0.7374	0.7164	193.0	131.0	292.0	209.0	1.0	6.0	291.0	203.0	afu2g01390-t_model	afu2g01390-t-p1_model	3g5t-assembly1.cif.gz_A	3g5t-assembly1.cif.gz_A	4932.0	4932.0	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Saccharomycotina;c_Saccharomycetes;o_Saccharomycetales;f_Saccharomycetaceae;g_Saccharomyces;s_Saccharomyces cerevisiae	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Saccharomycotina;c_Saccharomycetes;o_Saccharomycetales;f_Saccharomycetaceae;g_Saccharomyces;s_Saccharomyces cerevisiae	Saccharomyces cerevisiae	Saccharomyces cerevisiae	299.0	299.0	1.0	96.0	93.0	0.0804999999999999	370.0	-1	-2.96599999994313e-16	0.014000000000000012	-0.02	0.02100000000000002		0.678504315724295	-0.04631217838765	83.0	0.03	6	-1	5	14	51	-1.80657347631504	0.278750000000002	65	-0.00207	-0.02341	0.95368782161235	1.0	0.952054794520548	1.0	278.0	203.0	0.9553264604811	1.0	0.99401	0.99608	0.07035	0.09376	208	292	71.23	292.0	898.0	1.3e-84	209.0	544.0	8.799999999999999e-53	838.860566476932	520.555173278498	-8.799999999999999e-53	318.305393198433	170	202	204	209	209	221	267	274	278	284	51	65	70	69	75
Aspergillus fumigatus str. Af293	AFU6G06390_T	changed	AFU6G06390	AFU6G06390	66DB5238_1457_45D7_8814_C1F344E6A34F	235	62	1	2	decrease	Afum-Af293_new	Afum-Af293_old	1	1	0.46	0.97	0	0	18.0024717066546	17.7657648283039	0.5	0.37	0.73	0.85	18	22	30	13	57	9	69	9	4	2	0	0	160	33	91.185	90.49	66.8347339182095	63.9249155436857	74.5511111111111	60.76625	28.7541666666667	45.2109090909091	73	11	4.93224463393357	-7.18169405391307	0.0	0.0	0.3892	0.5287	50.0	30.0	0.3212	5.226	0.112	0.118	6.0	1.0	0.4129	0.7602	89.0	42.0	157.0	59.0	41.0	1.0	116.0	58.0	afu6g06390-t_model	afu6g06390-t-p1_model	2rld-assembly1.cif.gz_B	7arb-assembly1.cif.gz_j	226186.0	3702.0	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidota/Chlorobiota group;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides thetaiotaomicron;-_Bacteroides thetaiotaomicron VPI-5482	-_cellular organisms;d_Eukaryota;k_Viridiplantae;p_Streptophyta;-_Streptophytina;-_Embryophyta;-_Tracheophyta;-_Euphyllophyta;-_Spermatophyta;c_Magnoliopsida;-_Mesangiospermae;-_eudicotyledons;-_Gunneridae;-_Pentapetalae;-_rosids;-_malvids;o_Brassicales;f_Brassicaceae;-_Camelineae;g_Arabidopsis;s_Arabidopsis thaliana	Bacteroides thetaiotaomicron VPI-5482	Arabidopsis thaliana	111.0	50.0	2.0	2.0	0.0	-0.13949999999999996	20.0	-1	-4.9048	-0.0059999999999999915	-0.51	-0.3473		0.236706878350745	0.0	173.0	0.13	-4	17	48	60	2	2.90981837452375	13.7848611111111	62	-0.10405	0.0356199999999999	0.0	0.0	0.680851063829787	0.532258064516129	96.0	30.0	0.827586206896552	0.517241379310345	0.60302	0.70707	0.22956	0.19394	61	235	25.96	219.0	434.0	1.8e-87			10.0	867.447274948967	-10.0	-10.0	877.447274948967	2	11	20	33	55	4	73	130	160	178	2	62	110	127	123
Aspergillus fumigatus str. Af293	AFU1G14310_T	changed	AFU1G14310	AFU1G14310	67078132_CC61_4814_9CAC_497CD871C839	663	466	4	9	decrease	Afum-Af293_new	Afum-Af293_old	1	1	0.35	0.21	0	0	19.5783264970915	14.7777441102249	0.63	0.68	0.8	0.79	24	9	25	31	41	70	126	145	248	72	23	27	440	318	98.326	96.554	70.5509447126947	67.5332446220327	84.0	77.8094444444444	18.02875	18.2685714285714	374	217	415.583048643593	316.416843599178	419.0	333.0	0.8968	0.8941	1817.0	1351.0	2.7650000000000006e-42	2.282e-32	0.501	0.474	7.0	6.0	0.8503	0.8179	191.0	158.0	656.0	459.0	241.0	130.0	415.0	329.0	afu1g14310-t_model	afu1g14310-t-p1_model	4cyi-assembly2.cif.gz_D	4cyi-assembly2.cif.gz_D	209285.0	209285.0	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Pezizomycotina;-_leotiomyceta;-_sordariomyceta;c_Sordariomycetes;-_Sordariomycetidae;o_Sordariales;f_Chaetomiaceae;g_Thermochaetoides;s_Thermochaetoides thermophila	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Pezizomycotina;-_leotiomyceta;-_sordariomyceta;c_Sordariomycetes;-_Sordariomycetidae;o_Sordariales;f_Chaetomiaceae;g_Thermochaetoides;s_Thermochaetoides thermophila	Thermochaetoides thermophila	Thermochaetoides thermophila	404.0	404.0	1.0	86.0	86.0	0.0027000000000000357	466.0	-5	-2.2819999997235e-32	0.027000000000000024	0.14	0.032399999999999984		4.80058238686656	-0.0057430412735481	197.0	-0.05	15	-6	-29	-19	176	3.01770009066199	6.19055555555556	157	0.04207	-0.06978	0.783650470715169	0.789393511988717	0.663650075414781	0.682403433476395	397.0	308.0	0.956626506024096	0.936170212765958	0.99316	0.95109	0.06432	0.1341	349	744	46.91	656.0	1996.0	1.2e-213	335.0	597.0	1.2e-152	2129.20818753952	1519.20818753952	-1.2e-152	610.0	72	217	287	318	327	248	374	415	440	464	176	157	128	122	137
Aspergillus fumigatus str. Af293	AFU1G01530_T	changed	AFU1G01530	AFU1G01530	6721B6DE_0352_4B91_B0D0_44713BD74E60	194	267	1	1	same	Afum-Af293_new	Afum-Af293_old	1	1	0.07	0.32	0	0	3.68851100010628	14.1959222320414	0.91	0.71	0.94	0.87	0	2	1	0	2	3	18	13	163	168	1	42	184	184	98.932	98.93	92.4536870379048	74.0088449516567	97.2503246753247	94.1628571428571	24.9175	13.9766666666667	181	181	117.34946211496	113.885953622884	169.0	168.0	0.7794	0.8187	374.0	384.0	1.841e-12	4.087e-12	0.254	0.273	7.0	7.0	0.6501	0.6565	111.0	107.0	185.0	259.0	25.0	98.0	160.0	161.0	afu1g01530-t_model	afu1g01530-t-p1_model	2nrk-assembly1.cif.gz_A-2	2nrk-assembly1.cif.gz_A-2	226185.0	226185.0	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Enterococcaceae;g_Enterococcus;s_Enterococcus faecalis;-_Enterococcus faecalis V583	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Enterococcaceae;g_Enterococcus;s_Enterococcus faecalis;-_Enterococcus faecalis V583	Enterococcus faecalis V583	Enterococcus faecalis V583	162.0	159.0	1.0	1.0	1.0	-0.0393	-10.0	0	-2.246e-12	-0.019000000000000017	-0.25	-0.006399999999999961		-10.5074112319351	0.157580450263377	-73.0	0.2	-2	1	-1	5	-5	18.4448420862481	3.08746753246754	0	0.00131	-0.0362399999999999	0.973544973544974	0.815964523281596	0.948453608247423	0.689138576779026	160.0	161.0	1.0	1.0	0.99899	0.99768	0.00962	0.04586	193	267	72.28	169.0	660.0	8.3e-51	169.0	660.0	2.3e-50	500.809219076239	496.382721639824	-1.47e-50	4.42649743641516	168	181	184	184	186	163	181	183	184	184	-5	0	-1	0	-2
Aspergillus fumigatus str. Af293	AFU4G03080_T	changed	AFU4G03080	AFU4G03080	6745DC3A_A909_46FF_8250_AA205B6CE0FE	221	120	1	2	decrease	Afum-Af293_new	Afum-Af293_old	1	1	0.0	0.11	0	0	14.6335558240003	6.37265972222222	0.53	0.81	0.53	0.87	3	2	13	2	51	1	85	14	68	86	0	0	217	103	97.0775	98.6566666666667	84.1737178116002	86.3294089045214	85.9333333333333	95.0504166666667	49.8825	32.615	153	100	55.6479289675925	18.4893674664625	227.0	0.0	0.1686	0.2813	84.0	57.0	2.724e-06	0.01416	0.215	0.219	11.0	6.0	0.436	0.4494	99.0	64.0	192.0	95.0	8.0	4.0	184.0	91.0	afu4g03080-t_model	afu4g03080-t-p1_model	8ffz-assembly1.cif.gz_A	5und-assembly2.cif.gz_B	4932.0	9606.0	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Saccharomycotina;c_Saccharomycetes;o_Saccharomycetales;f_Saccharomycetaceae;g_Saccharomyces;s_Saccharomyces cerevisiae	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens	Saccharomyces cerevisiae	Homo sapiens	198.0	143.0	9.0	44.0	227.0	-0.1127	27.0	-1	-0.014157276	-0.0040000000000000036	-0.11	-0.013400000000000023		8.26089610177811	0.982797232543882	101.0	-0.28	1	11	50	71	-18	-2.15569109292125	-9.11708333333333	53	0.13178	-0.07005	0.982797232543882	0.0	0.981900452488688	0.858333333333333	181.0	80.0	0.983695652173913	0.879120879120879	0.97577	0.84399	0.14324	0.21329	112	221	50.68	45.0	284.0	4.57e-06			10.0	53.4008379993015	-10.0	-9.99999543	63.4008379993015	86	100	101	103	105	68	153	204	217	220	-18	53	103	114	115
Fusarium graminearum str. PH-1	FGRAMPH1_01G15657	changed	FGRAMPH1_01G15657	FGRAMPH1_01G15657	678E455A_5DBF_4367_810F_26EDB8A5594B	315	330	3	6	decrease	F_gram_PH-1_new	F_gram_PH-1_old	1	1	0.0	0.2	0	0	3.49145779793399	15.4184453627181	0.91	0.65	0.92	0.75	1	22	5	45	40	63	88	88	181	15	0	23	314	211	97.624	94.65	88.6713459011888	64.006716082907	91.12125	70.081875	54.7475	18.0525	269	103			300.0	264.0	0.7837	0.7149	332.0	250.0	1.868e-07	1.057e-05	0.18	0.2	13.0	9.0	0.5674	0.5961	208.0	181.0	312.0	326.0	21.0	69.0	291.0	257.0	fgramph1_01t15657_model	fgramph1_01t15657-p1_model	4od4-assembly1.cif.gz_A	4od4-assembly1.cif.gz_A	272557.0	272557.0	-_cellular organisms;d_Archaea;-_TACK group;p_Thermoproteota;c_Thermoprotei;o_Desulfurococcales;f_Desulfurococcaceae;g_Aeropyrum;s_Aeropyrum pernix;-_Aeropyrum pernix K1	-_cellular organisms;d_Archaea;-_TACK group;p_Thermoproteota;c_Thermoprotei;o_Desulfurococcales;f_Desulfurococcaceae;g_Aeropyrum;s_Aeropyrum pernix;-_Aeropyrum pernix K1	Aeropyrum pernix K1	Aeropyrum pernix K1	272.0	249.0	3.0	10.0	36.0	0.06879999999999997	82.0	-3	-1.03832e-05	-0.020000000000000018	-0.2	-0.028699999999999948		-11.9269875647841	0.293255774490316	-15.0	0.26	-21	-40	-23	0	166	24.6646298182818	21.039375	166	0.11802	-0.03992	0.998410174880763	0.705154400390447	0.996825396825397	0.639393939393939	291.0	202.0	1.0	0.785992217898833	0.9001	0.78208	0.03848	0.0784	267	375	71.2	301.0	1023.0	2.53783e-52	225.0	822.0	7.92253e-46	515.955374730745	451.01136107605	-7.922527462169999e-46	64.9440136546948	15	103	166	211	233	181	269	309	314	315	166	166	143	103	82
Fusarium graminearum str. PH-1	FGRAMPH1_01G12187	changed	FGRAMPH1_01G12187	FGRAMPH1_01G12187	67C8E506_905E_4EE2_8932_AEDD3083F426	651	543	7	7	same	F_gram_PH-1_new	F_gram_PH-1_old	1	1	0.24	0.41	0	0	15.8058378814585	20.715063642746	0.73	0.59	0.85	0.8	40	23	38	35	63	61	155	116	220	74	9	118	476	286	97.7645454545455	96.294	74.073038107651	57.8198901711139	84.1583333333333	65.4055555555556	19.7366666666667	8.38625	375	190			644.0	0.0	0.4484	0.3183	142.0	61.0	0.0002566	0.1389	0.124	0.12	40.0	13.0	0.4392	0.3691	385.0	181.0	577.0	535.0	1.0	240.0	576.0	295.0	fgramph1_01t12187_model	fgramph1_01t12187-p1_model	6gys-assembly1.cif.gz_B	5cwm-assembly1.cif.gz_A	4932.0	32630.0	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Saccharomycotina;c_Saccharomycetes;o_Saccharomycetales;f_Saccharomycetaceae;g_Saccharomyces;s_Saccharomyces cerevisiae	-_other entries;-_other sequences;-_artificial sequences;s_synthetic construct	Saccharomyces cerevisiae	synthetic construct	537.0	225.0	6.0	6.0	644.0	0.1301	81.0	0	-0.1386434	0.0040000000000000036	-0.17	0.0701		-4.90922576128744	0.762616822429907	108.0	0.14	17	3	2	39	146	16.2531479365371	18.7527777777778	185	0.1592	0.03206	0.762616822429907	0.0	0.731182795698925	0.52670349907919	459.0	263.0	0.796875	0.891525423728814	0.94805	0.78885	0.27178	0.23972	411	758	54.22	629.0	921.0	6.4e-64	294.0	447.0	9e-30	631.938200260161	290.457574905607	-9e-30	341.480625354554	74	190	251	286	309	220	375	438	476	516	146	185	187	190	207
Aspergillus fumigatus str. Af293	AFU5G11200_T	changed	AFU5G11200	AFU5G11200	68258624_067F_4813_AB16_77F7EFF39D2D	141	120	1	4	decrease	Afum-Af293_new	Afum-Af293_old	1	1	0.03	0.33	0	0	3.55776872390725	14.2729652777778	0.89	0.58	0.91	0.74	1	3	2	7	2	18	28	37	104	17	0	4	136	79	98.27375	94.816	91.1410147754137	65.8814680705868	94.50625	76.5197916666667	37.80375	23.8866666666667	132	54	134.327383076461	51.9456711186786	134.0	119.0	0.8522	0.6018	451.0	173.0	3.692e-14	6.389e-06	0.313	0.243	3.0	2.0	0.7381	0.7437	86.0	55.0	138.0	118.0	7.0	2.0	131.0	116.0	afu5g11200-t_model	afu5g11200-t-p1_model	1vkk-assembly1.cif.gz_A	3l50-assembly2.cif.gz_B	10090.0	9606.0	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;-_Glires;o_Rodentia;-_Myomorpha;-_Muroidea;f_Muridae;-_Murinae;g_Mus;-_Mus;s_Mus musculus	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens	Mus musculus	Homo sapiens	132.0	136.0	3.0	51.0	15.0	0.25039999999999996	278.0	-3	-6.38899996308e-06	0.07	-0.3	-0.005600000000000049		-10.7151965538705	0.329560116929031	21.0	0.31	-2	-5	-16	-9	87	25.2595467048269	17.9864583333333	78	0.02277	0.02905	0.981949458483754	0.652389341554724	0.964539007092198	0.658333333333333	131.0	75.0	1.0	0.646551724137931	0.99975	0.97698	0.06369	0.03464	85	174	48.85	140.0	919.0	6.23803e-48	115.0	230.0	1.8e-17	472.049525409602	167.447274948967	-1.8e-17	304.602250460635	17	54	72	79	82	104	132	134	136	137	87	78	62	57	55
Fusarium graminearum str. PH-1	FGRAMPH1_01G03269	changed	FGRAMPH1_01G03269	FGRAMPH1_01G03269	683DF3A3_6FA5_47F7_B18E_33D1115A47A5	79	79	4	1	increase	F_gram_PH-1_new	F_gram_PH-1_old	1	1	0.0	0.14	0	0	4.02522031725685	6.83916039096299	0.79	0.68	0.79	0.75	1	2	4	5	4	12	19	42	50	11	0	0	77	70	97.7033333333333	94.5085714285714	88.7715889637789	78.5921766717811	91.4644444444444	84.09625	45.93	29.7425	69	53			0.0	0.0	0.5987	0.664	70.0	54.0	0.2411	0.8185	0.337	0.34	3.0	1.0	0.6063	0.5063	38.0	22.0	77.0	47.0	1.0	4.0	76.0	43.0	fgramph1_01t03269_model	fgramph1_01t03269-p1_model	2hp8-assembly1.cif.gz_A	1ei0-assembly1.cif.gz_A	9606.0	0.0	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens	unclassified	Homo sapiens	unclassified	64.0	37.0	1.0	1.0	0.0	-0.06530000000000002	16.0	3	-0.5774	-0.0030000000000000027	-0.14	0.09999999999999998		-2.81394007370614	0.0	0.0	0.11	-1	-1	-8	-23	39	10.1794122919978	7.36819444444444	16	0.0123199999999999	-0.06694	0.0	0.0	0.974683544303797	0.886075949367089	74.0	37.0	0.973684210526316	0.86046511627907	0.9921	0.97978	0.2702	0.33714	57	97	58.76	68.0	195.0	2.4e-24	57.0	111.0	8.6e-19	236.197887582884	180.655015487564	-8.599975999999999e-19	55.5428720953196	11	53	65	70	72	50	69	73	77	78	39	16	8	7	6
